Mask value ; Group I ; Group II ; Group III ; Group IV ; Group V ; Group VI ; Group VII ; Group VIII ; Group IX ; Group X ; Group XI ; Group XII ; Group XIII ;
010101|0|1|0 ; - ; 9.23 ; 23.89 ; 0.16 ; 11.48 ; 11.88 ; 13.25 ; 5.70 ; 11.45 ; 7.10 ; 5.86 ; - ; - ; 
010101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|0|2|0 ; - ; 14.49 ; - ; 0.23 ; - ; 18.40 ; 20.61 ; 8.88 ; 17.34 ; 10.97 ; 9.08 ; - ; - ; 
010101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|1|1|0 ; - ; - ; - ; 0.36 ; 27.62 ; - ; - ; 13.48 ; 28.08 ; 16.75 ; 13.70 ; - ; - ; 
010101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|1|2|0 ; - ; - ; - ; 0.49 ; - ; - ; - ; 18.98 ; 37.39 ; 23.63 ; 19.51 ; - ; - ; 
010101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|0|1|0 ; - ; 8.63 ; 22.68 ; 0.15 ; 12.22 ; 12.70 ; 12.38 ; 5.49 ; 12.22 ; 7.34 ; 6.19 ; - ; - ; 
010110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|0|2|0 ; - ; 13.55 ; - ; 0.24 ; - ; 19.11 ; 19.13 ; 8.48 ; 18.64 ; 11.34 ; 9.51 ; - ; - ; 
010110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|1|1|0 ; - ; - ; - ; 0.32 ; 28.41 ; - ; - ; 12.60 ; 27.46 ; 16.95 ; 14.26 ; - ; - ; 
010110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|1|2|0 ; - ; - ; - ; 0.42 ; - ; - ; - ; 17.38 ; 39.20 ; 23.42 ; 19.59 ; - ; - ; 
010110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|0|1|0 ; - ; 8.37 ; 21.93 ; 0.13 ; 12.89 ; 12.85 ; 11.45 ; 5.21 ; 13.13 ; 7.53 ; 6.51 ; - ; - ; 
010111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|0|2|0 ; - ; 12.95 ; - ; 0.20 ; - ; 20.14 ; 17.46 ; 8.00 ; 19.79 ; 11.56 ; 9.90 ; - ; - ; 
010111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|1|1|0 ; - ; - ; - ; 0.30 ; 28.33 ; - ; - ; 11.49 ; 29.10 ; 16.52 ; 14.26 ; - ; - ; 
010111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|1|2|0 ; - ; - ; - ; 0.40 ; - ; - ; - ; 16.09 ; 40.39 ; 23.16 ; 19.96 ; - ; - ; 
010111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|0|1|0 ; - ; 8.07 ; 20.86 ; 0.11 ; 13.64 ; 13.49 ; 10.65 ; 5.03 ; 13.42 ; 7.84 ; 6.90 ; - ; - ; 
011000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|0|2|0 ; - ; 12.12 ; - ; 0.17 ; - ; 21.21 ; 16.31 ; 7.70 ; 20.11 ; 11.95 ; 10.44 ; - ; - ; 
011000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|1|1|0 ; - ; - ; - ; 0.26 ; 29.12 ; - ; - ; 10.84 ; 28.32 ; 16.79 ; 14.67 ; - ; - ; 
011000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|1|2|0 ; - ; - ; - ; 0.34 ; - ; - ; - ; 15.26 ; 40.21 ; 23.42 ; 20.77 ; - ; - ; 
011000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011001|0|1|0 ; - ; 7.53 ; 19.80 ; 0.13 ; 14.45 ; 14.46 ; 9.91 ; 4.88 ; 13.52 ; 8.09 ; 7.24 ; - ; - ; 
011001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011001|0|2|0 ; - ; 11.62 ; - ; 0.18 ; - ; 22.03 ; 15.07 ; 7.31 ; 20.67 ; 12.16 ; 10.96 ; - ; - ; 
011001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011001|1|1|0 ; - ; - ; - ; 0.23 ; 29.73 ; - ; - ; 9.97 ; 28.36 ; 16.70 ; 15.00 ; - ; - ; 
011001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011001|1|2|0 ; - ; - ; - ; 0.34 ; - ; - ; - ; 14.30 ; 40.37 ; 23.78 ; 21.21 ; - ; - ; 
011001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011010|0|1|0 ; - ; 7.18 ; 18.98 ; 0.12 ; 15.09 ; 15.41 ; 9.17 ; 4.69 ; 13.51 ; 8.24 ; 7.60 ; - ; - ; 
011010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011010|0|2|0 ; - ; 10.95 ; - ; 0.15 ; - ; 22.60 ; 14.03 ; 7.11 ; 20.93 ; 12.67 ; 11.56 ; - ; - ; 
011010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011010|1|1|0 ; - ; - ; - ; 0.23 ; 30.33 ; - ; - ; 9.52 ; 27.75 ; 16.78 ; 15.40 ; - ; - ; 
011010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011010|1|2|0 ; - ; - ; - ; 0.34 ; - ; - ; - ; 13.79 ; 39.16 ; 24.19 ; 22.52 ; - ; - ; 
011010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011011|0|1|0 ; - ; 6.98 ; 18.28 ; 0.10 ; 15.76 ; 15.66 ; 8.78 ; 4.49 ; 13.97 ; 8.06 ; 7.91 ; - ; - ; 
011011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011011|0|2|0 ; - ; 10.30 ; - ; 0.15 ; - ; 24.02 ; 13.29 ; 6.80 ; 21.23 ; 12.19 ; 12.03 ; - ; - ; 
011011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011011|1|1|0 ; - ; - ; - ; 0.23 ; 31.19 ; - ; - ; 8.85 ; 28.04 ; 15.97 ; 15.73 ; - ; - ; 
011011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011011|1|2|0 ; - ; - ; - ; 0.32 ; - ; - ; - ; 13.02 ; 40.21 ; 23.50 ; 22.95 ; - ; - ; 
011011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011100|0|1|0 ; - ; 6.64 ; 17.60 ; 0.10 ; 16.34 ; 16.68 ; 8.76 ; 4.28 ; 13.44 ; 7.83 ; 8.33 ; - ; - ; 
011100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011100|0|2|0 ; - ; 10.21 ; - ; 0.15 ; - ; 24.96 ; 13.28 ; 6.53 ; 20.51 ; 11.83 ; 12.54 ; - ; - ; 
011100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011100|1|1|0 ; - ; - ; - ; 0.22 ; 32.69 ; - ; - ; 8.47 ; 26.67 ; 15.41 ; 16.55 ; - ; - ; 
011100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011100|1|2|0 ; - ; - ; - ; 0.31 ; - ; - ; - ; 12.68 ; 39.68 ; 22.98 ; 24.34 ; - ; - ; 
011100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011101|0|1|0 ; - ; 6.24 ; 16.82 ; 0.12 ; 17.16 ; 17.51 ; 8.78 ; 4.12 ; 13.08 ; 7.56 ; 8.62 ; - ; - ; 
011101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011101|0|2|0 ; - ; 9.76 ; - ; 0.21 ; - ; 26.30 ; 13.40 ; 6.31 ; 19.30 ; 11.53 ; 13.20 ; - ; - ; 
011101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011101|1|1|0 ; - ; - ; - ; 0.21 ; 34.20 ; - ; - ; 8.22 ; 25.41 ; 14.93 ; 17.02 ; - ; - ; 
011101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011101|1|2|0 ; - ; - ; - ; 0.36 ; - ; - ; - ; 12.52 ; 37.91 ; 22.99 ; 26.21 ; - ; - ; 
011101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011110|0|1|0 ; - ; 6.11 ; 16.23 ; 0.12 ; 18.02 ; 18.00 ; 8.89 ; 4.04 ; 12.19 ; 7.32 ; 9.09 ; - ; - ; 
011110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011110|0|2|0 ; - ; 9.28 ; - ; 0.18 ; - ; 27.12 ; 13.53 ; 6.08 ; 18.79 ; 11.21 ; 13.80 ; - ; - ; 
011110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011110|1|1|0 ; - ; - ; - ; 0.25 ; 35.25 ; - ; - ; 7.77 ; 24.50 ; 14.40 ; 17.84 ; - ; - ; 
011110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011110|1|2|0 ; - ; - ; - ; 0.43 ; - ; - ; - ; 12.14 ; 37.59 ; 22.27 ; 27.56 ; - ; - ; 
011110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011111|0|1|0 ; - ; 5.89 ; 15.39 ; 0.14 ; 18.77 ; 18.83 ; 8.86 ; 3.85 ; 11.62 ; 7.14 ; 9.51 ; - ; - ; 
011111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011111|0|2|0 ; - ; 9.18 ; - ; 0.18 ; - ; 28.65 ; 13.53 ; 5.90 ; 17.24 ; 10.81 ; 14.53 ; - ; - ; 
011111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011111|1|1|0 ; - ; - ; - ; 0.27 ; 37.08 ; - ; - ; 7.64 ; 22.35 ; 14.00 ; 18.67 ; - ; - ; 
011111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011111|1|2|0 ; - ; - ; - ; 0.43 ; - ; - ; - ; 12.12 ; 35.71 ; 22.22 ; 29.52 ; - ; - ; 
011111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100000|0|1|0 ; - ; 5.92 ; 15.30 ; 0.16 ; 19.28 ; 19.20 ; 9.17 ; 3.83 ; 10.33 ; 7.07 ; 9.74 ; - ; - ; 
100000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100000|0|2|0 ; - ; 8.94 ; - ; 0.22 ; - ; 29.78 ; 13.78 ; 5.80 ; 15.95 ; 10.75 ; 14.78 ; - ; - ; 
100000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100000|1|1|0 ; - ; - ; - ; 0.29 ; 37.83 ; - ; - ; 7.51 ; 21.38 ; 13.83 ; 19.16 ; - ; - ; 
100000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100000|1|2|0 ; - ; - ; - ; 0.42 ; - ; - ; - ; 12.20 ; 33.94 ; 22.40 ; 31.04 ; - ; - ; 
100000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100001|0|1|0 ; - ; 5.74 ; 15.11 ; 0.17 ; 19.43 ; 19.20 ; 9.58 ; 3.78 ; 10.07 ; 7.13 ; 9.78 ; - ; - ; 
100001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100001|0|2|0 ; - ; 8.77 ; - ; 0.25 ; - ; 29.43 ; 14.53 ; 5.79 ; 15.45 ; 10.84 ; 14.93 ; - ; - ; 
100001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100001|1|1|0 ; - ; - ; - ; 0.36 ; 38.45 ; - ; - ; 7.63 ; 20.13 ; 14.06 ; 19.36 ; - ; - ; 
100001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100001|1|2|0 ; - ; - ; - ; 0.55 ; - ; - ; - ; 12.43 ; 32.41 ; 22.94 ; 31.67 ; - ; - ; 
100001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100010|0|1|0 ; - ; 5.67 ; 14.93 ; 0.19 ; 19.45 ; 19.09 ; 10.30 ; 3.79 ; 9.79 ; 7.05 ; 9.75 ; - ; - ; 
100010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100010|0|2|0 ; - ; 8.76 ; - ; 0.34 ; - ; 28.99 ; 15.68 ; 5.79 ; 14.60 ; 10.88 ; 14.96 ; - ; - ; 
100010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100010|1|1|0 ; - ; - ; - ; 0.43 ; 39.25 ; - ; - ; 7.57 ; 18.80 ; 14.30 ; 19.65 ; - ; - ; 
100010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100010|1|2|0 ; - ; - ; - ; 0.73 ; - ; - ; - ; 12.57 ; 31.48 ; 23.33 ; 31.88 ; - ; - ; 
100010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100011|0|1|0 ; - ; 5.60 ; 14.78 ; 0.22 ; 19.46 ; 19.62 ; 10.60 ; 3.76 ; 9.13 ; 7.10 ; 9.73 ; - ; - ; 
100011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100011|0|2|0 ; - ; 8.56 ; - ; 0.36 ; - ; 29.62 ; 16.34 ; 5.85 ; 13.47 ; 10.82 ; 14.98 ; - ; - ; 
100011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100011|1|1|0 ; - ; - ; - ; 0.47 ; 39.57 ; - ; - ; 7.72 ; 17.83 ; 14.55 ; 19.86 ; - ; - ; 
100011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100011|1|2|0 ; - ; - ; - ; 0.82 ; - ; - ; - ; 12.75 ; 29.06 ; 24.22 ; 33.15 ; - ; - ; 
100011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100100|0|1|0 ; - ; 5.81 ; 14.45 ; 0.28 ; 19.63 ; 19.46 ; 11.36 ; 3.82 ; 8.00 ; 7.23 ; 9.96 ; - ; - ; 
100100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100100|0|2|0 ; - ; 8.97 ; - ; 0.42 ; - ; 29.80 ; 17.13 ; 5.88 ; 11.69 ; 10.93 ; 15.18 ; - ; - ; 
100100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100100|1|1|0 ; - ; - ; - ; 0.59 ; 40.46 ; - ; - ; 7.88 ; 15.88 ; 14.79 ; 20.40 ; - ; - ; 
100100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100100|1|2|0 ; - ; - ; - ; 0.90 ; - ; - ; - ; 13.35 ; 26.60 ; 24.89 ; 34.26 ; - ; - ; 
100100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100101|0|1|0 ; - ; 5.70 ; 14.23 ; 0.30 ; 19.95 ; 19.92 ; 11.87 ; 3.88 ; 6.95 ; 7.21 ; 10.00 ; - ; - ; 
100101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100101|0|2|0 ; - ; 8.48 ; - ; 0.45 ; - ; 29.96 ; 18.05 ; 5.96 ; 10.71 ; 11.16 ; 15.23 ; - ; - ; 
100101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100101|1|1|0 ; - ; - ; - ; 0.64 ; 41.04 ; - ; - ; 7.96 ; 14.48 ; 15.04 ; 20.84 ; - ; - ; 
100101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100101|1|2|0 ; - ; - ; - ; 1.05 ; - ; - ; - ; 13.45 ; 25.19 ; 25.43 ; 34.87 ; - ; - ; 
100101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100110|0|1|0 ; - ; 5.76 ; 13.94 ; 0.37 ; 19.94 ; 20.05 ; 12.48 ; 3.87 ; 6.18 ; 7.30 ; 10.10 ; - ; - ; 
100110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100110|0|2|0 ; - ; 8.64 ; - ; 0.57 ; - ; 30.30 ; 18.82 ; 5.79 ; 9.70 ; 11.04 ; 15.14 ; - ; - ; 
100110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100110|1|1|0 ; - ; - ; - ; 0.75 ; 41.20 ; - ; - ; 8.03 ; 13.65 ; 15.33 ; 21.03 ; - ; - ; 
100110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100110|1|2|0 ; - ; - ; - ; 1.33 ; - ; - ; - ; 13.74 ; 23.02 ; 26.15 ; 35.75 ; - ; - ; 
100110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100111|0|1|0 ; - ; 5.66 ; 13.86 ; 0.41 ; 20.07 ; 20.01 ; 13.06 ; 3.83 ; 5.67 ; 7.39 ; 10.05 ; - ; - ; 
100111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100111|0|2|0 ; - ; 8.49 ; - ; 0.65 ; - ; 30.11 ; 19.64 ; 5.85 ; 8.97 ; 11.04 ; 15.25 ; - ; - ; 
100111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100111|1|1|0 ; - ; - ; - ; 0.86 ; 42.38 ; - ; - ; 8.14 ; 11.52 ; 15.68 ; 21.42 ; - ; - ; 
100111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
100111|1|2|0 ; - ; - ; - ; 1.60 ; - ; - ; - ; 14.07 ; 20.96 ; 26.58 ; 36.78 ; - ; - ; 
100111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101000|0|1|0 ; - ; 5.60 ; 13.61 ; 0.52 ; 20.37 ; 20.05 ; 13.37 ; 3.92 ; 4.83 ; 7.45 ; 10.27 ; - ; - ; 
101000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101000|0|2|0 ; - ; 8.77 ; - ; 0.76 ; - ; 29.73 ; 20.47 ; 5.89 ; 7.50 ; 11.27 ; 15.62 ; - ; - ; 
101000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101000|1|1|0 ; - ; - ; - ; 1.07 ; 43.32 ; - ; - ; 8.26 ; 10.08 ; 15.64 ; 21.63 ; - ; - ; 
101000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101000|1|2|0 ; - ; - ; - ; 1.76 ; - ; - ; - ; 14.57 ; 17.29 ; 27.93 ; 38.43 ; - ; - ; 
101000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101001|0|1|0 ; - ; 5.73 ; 13.53 ; 0.58 ; 20.41 ; 19.96 ; 13.83 ; 3.95 ; 4.14 ; 7.52 ; 10.34 ; - ; - ; 
101001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101001|0|2|0 ; - ; 8.57 ; - ; 0.79 ; - ; 30.58 ; 20.76 ; 5.98 ; 6.23 ; 11.43 ; 15.66 ; - ; - ; 
101001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101001|1|1|0 ; - ; - ; - ; 1.22 ; 43.89 ; - ; - ; 8.26 ; 8.74 ; 15.99 ; 21.90 ; - ; - ; 
101001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101001|1|2|0 ; - ; - ; - ; 2.11 ; - ; - ; - ; 14.94 ; 15.17 ; 28.53 ; 39.24 ; - ; - ; 
101001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
101010|0|1|0 ; - ; 5.83 ; 13.09 ; 0.69 ; 20.85 ; 19.71 ; 14.51 ; 3.95 ; 3.37 ; 7.62 ; 10.38 ; - ; - ; 
101010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
